Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker
2020-11-25 10:40:00-05:00,550.2283935546875,550.7951049804688,550.0,550.64501953125,104810,0,0,TSLA
2020-11-25 10:41:00-05:00,550.68798828125,552.3516235351562,550.68798828125,552.3336181640625,116050,0,0,TSLA
2020-11-25 10:42:00-05:00,552.4000244140625,552.4199829101562,551.7100219726562,552.0205078125,81637,0,0,TSLA
2020-11-25 10:43:00-05:00,552.1799926757812,552.27001953125,550.1599731445312,550.1599731445312,90901,0,0,TSLA
2020-11-25 10:44:00-05:00,550.1890258789062,550.6998901367188,549.5,550.0349731445312,119175,0,0,TSLA
2020-11-25 10:45:00-05:00,549.9450073242188,551.169921875,549.6400146484375,550.8209838867188,78792,0,0,TSLA
2020-11-25 10:46:00-05:00,550.8800048828125,551.969970703125,550.6500244140625,551.6699829101562,69210,0,0,TSLA
2020-11-25 10:47:00-05:00,551.594970703125,552.7999267578125,551.5501098632812,552.7100219726562,116801,0,0,TSLA
2020-11-25 10:48:00-05:00,552.760498046875,553.0,551.7600708007812,552.8599853515625,85659,0,0,TSLA
2020-11-25 10:49:00-05:00,552.75,553.0999755859375,552.2476196289062,552.5358276367188,74743,0,0,TSLA
2020-11-25 10:50:00-05:00,552.5656127929688,554.030029296875,552.4000244140625,553.9376220703125,173140,0,0,TSLA
2020-11-25 10:51:00-05:00,553.9000244140625,554.5499267578125,553.5,554.0449829101562,167336,0,0,TSLA
2020-11-25 10:52:00-05:00,554.0643920898438,554.4400024414062,552.8507080078125,553.409912109375,115141,0,0,TSLA
2020-11-25 10:53:00-05:00,553.180419921875,553.6798706054688,553.030029296875,553.0800170898438,53134,0,0,TSLA
2020-11-25 10:54:00-05:00,553.0800170898438,553.1699829101562,552.2999877929688,552.5953979492188,71734,0,0,TSLA
2020-11-25 10:55:00-05:00,552.6199951171875,553.4000244140625,552.5,553.239990234375,62030,0,0,TSLA
2020-11-25 10:56:00-05:00,553.28759765625,553.6500244140625,552.5701293945312,552.8800048828125,65417,0,0,TSLA
2020-11-25 10:57:00-05:00,552.8200073242188,552.8399047851562,552.4000244140625,552.7199096679688,42311,0,0,TSLA
2020-11-25 10:58:00-05:00,552.761474609375,553.9000244140625,552.580078125,553.9000244140625,57173,0,0,TSLA
2020-11-25 10:59:00-05:00,553.8400268554688,554.989990234375,553.8261108398438,554.989990234375,158745,0,0,TSLA
2020-11-25 11:00:00-05:00,554.9099731445312,554.9299926757812,554.1599731445312,554.4500122070312,79098,0,0,TSLA
2020-11-25 11:01:00-05:00,554.489990234375,557.7525024414062,554.2999877929688,557.3800048828125,314862,0,0,TSLA
2020-11-25 11:02:00-05:00,557.3800048828125,558.2999877929688,557.1500244140625,558.2899780273438,227034,0,0,TSLA
2020-11-25 11:03:00-05:00,558.1773071289062,558.3200073242188,556.8400268554688,557.5662841796875,177439,0,0,TSLA
2020-11-25 11:04:00-05:00,557.4500122070312,558.8900146484375,557.0905151367188,558.5214233398438,199774,0,0,TSLA
2020-11-25 11:05:00-05:00,558.530029296875,558.9000244140625,558.010009765625,558.4998168945312,137892,0,0,TSLA
2020-11-25 11:06:00-05:00,558.4199829101562,560.919921875,558.4000244140625,560.85498046875,455964,0,0,TSLA
2020-11-25 11:07:00-05:00,560.77001953125,561.869873046875,560.5,561.1099853515625,314384,0,0,TSLA
2020-11-25 11:08:00-05:00,561.1799926757812,562.0,560.8699951171875,561.39501953125,190936,0,0,TSLA
2020-11-25 11:09:00-05:00,561.3001098632812,562.8599853515625,561.3001098632812,562.60400390625,254815,0,0,TSLA
2020-11-25 11:10:00-05:00,562.693603515625,563.4000244140625,562.469970703125,563.2269897460938,272581,0,0,TSLA
2020-11-25 11:11:00-05:00,563.1400146484375,565.0,563.1400146484375,564.72998046875,286140,0,0,TSLA
2020-11-25 11:12:00-05:00,564.63720703125,564.669921875,561.7000122070312,562.3250122070312,304785,0,0,TSLA
2020-11-25 11:13:00-05:00,562.344970703125,563.1900024414062,561.7000122070312,563.0703735351562,231435,0,0,TSLA
2020-11-25 11:14:00-05:00,562.976318359375,563.4099731445312,562.0499877929688,562.8499145507812,156858,0,0,TSLA
2020-11-25 11:15:00-05:00,562.8098754882812,562.8098754882812,561.0,562.0330200195312,191811,0,0,TSLA
2020-11-25 11:16:00-05:00,562.0399780273438,563.139892578125,561.27001953125,561.5599975585938,136376,0,0,TSLA
2020-11-25 11:17:00-05:00,561.6549072265625,563.0,561.489990234375,562.2000122070312,143671,0,0,TSLA
2020-11-25 11:18:00-05:00,562.2850952148438,563.4891967773438,562.2659912109375,562.8244018554688,140440,0,0,TSLA
2020-11-25 11:19:00-05:00,562.8590087890625,563.3499755859375,561.8300170898438,562.4036254882812,126642,0,0,TSLA
2020-11-25 11:20:00-05:00,562.4163818359375,563.6500244140625,562.0800170898438,562.2349853515625,166161,0,0,TSLA
2020-11-25 11:21:00-05:00,562.284912109375,562.3399047851562,560.02001953125,560.4600219726562,198445,0,0,TSLA
2020-11-25 11:22:00-05:00,560.485107421875,561.8400268554688,560.4600219726562,561.719970703125,138404,0,0,TSLA
2020-11-25 11:23:00-05:00,561.719970703125,562.5,561.0999755859375,562.5,122386,0,0,TSLA
2020-11-25 11:24:00-05:00,562.5,563.0700073242188,562.3599853515625,562.75,114383,0,0,TSLA
2020-11-25 11:25:00-05:00,562.75,563.4500122070312,562.5,563.10107421875,146077,0,0,TSLA
2020-11-25 11:26:00-05:00,563.094970703125,564.489990234375,563.019775390625,563.639892578125,186915,0,0,TSLA
2020-11-25 11:27:00-05:00,563.5549926757812,563.8599853515625,562.5809936523438,562.9407958984375,129687,0,0,TSLA
2020-11-25 11:28:00-05:00,562.893310546875,563.6199951171875,562.7999877929688,563.4328002929688,78317,0,0,TSLA
2020-11-25 11:29:00-05:00,563.3809814453125,563.989990234375,562.8117065429688,563.8300170898438,102880,0,0,TSLA
2020-11-25 11:30:00-05:00,563.9027709960938,563.909912109375,562.5499877929688,562.9400024414062,69027,0,0,TSLA
2020-11-25 11:32:00-05:00,563.2000122070312,563.9199829101562,563.1561279296875,563.7307739257812,223997,0,0,TSLA
2020-11-25 11:34:00-05:00,564.97998046875,564.9949951171875,564.6199951171875,564.8677978515625,380758,0,0,TSLA
2020-11-25 11:35:00-05:00,565.77001953125,566.0,565.7100219726562,565.848876953125,364834,0,0,TSLA
2020-11-25 11:36:00-05:00,565.6300048828125,566.0,565.0999755859375,565.2584228515625,294080,0,0,TSLA
2020-11-25 11:37:00-05:00,565.1027221679688,565.1790771484375,562.5999755859375,564.27001953125,241107,0,0,TSLA
2020-11-25 11:38:00-05:00,564.2999877929688,564.4099731445312,563.618896484375,564.0831909179688,91797,0,0,TSLA
2020-11-25 11:39:00-05:00,564.059814453125,564.8699951171875,564.059814453125,564.3200073242188,96892,0,0,TSLA
2020-11-25 11:40:00-05:00,564.280029296875,564.5,563.52001953125,563.780029296875,92649,0,0,TSLA
2020-11-25 11:41:00-05:00,563.8699951171875,563.91162109375,563.1599731445312,563.530029296875,72916,0,0,TSLA
2020-11-25 11:42:00-05:00,563.4349975585938,563.4349975585938,561.6599731445312,561.9630737304688,167173,0,0,TSLA
2020-11-25 11:43:00-05:00,561.989990234375,563.3900146484375,561.8978881835938,562.9730834960938,139900,0,0,TSLA
2020-11-25 11:44:00-05:00,563.0051879882812,563.7191162109375,562.5,562.7000122070312,95293,0,0,TSLA
2020-11-25 11:45:00-05:00,562.7999877929688,563.5321044921875,562.630126953125,563.5321044921875,89039,0,0,TSLA
2020-11-25 11:46:00-05:00,563.4658813476562,563.75,563.0900268554688,563.3170166015625,77599,0,0,TSLA
2020-11-25 11:47:00-05:00,563.239990234375,563.6998901367188,562.6701049804688,563.0499877929688,72324,0,0,TSLA
